REPORT_DATE,RESPONDERS SHIFT,METHOD,OFFENSE,BLOCK,WARD,ANC,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE
2025-11-19 02:08:35+00:00,EVENING,OTHERS,ROBBERY,2600 - 2798 BLOCK OF 15TH STREET NW,1,1A,3702,Cluster 2,38.92411609,-77.03534748
2025-11-19 20:39:29+00:00,EVENING,OTHERS,THEFT F/AUTO,1151 - 1198 BLOCK OF BLADENSBURG ROAD NE,5,5D,8903,Cluster 23,38.90518269,-76.98008787
2025-11-20 01:40:11+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1199 BLOCK OF NEWTON STREET NE,5,5B,9301,Cluster 22,38.93348403,-76.99189245
2025-11-21 17:22:01+00:00,DAY,OTHERS,BURGLARY,5000 - 5099 BLOCK OF HUNT STREET NE,7,7C,7809,Cluster 31,38.90104938,-76.92915517
2025-11-24 04:06:51+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,2,2C,10100,Cluster 8,38.90452619,-77.03261406
2025-11-27 13:41:38+00:00,DAY,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,4,4B,1901,Cluster 17,38.96197956,-77.02794983
2025-10-31 14:30:58+00:00,DAY,OTHERS,THEFT/OTHER,4200 - 4299 BLOCK OF 8TH STREET NW,4,4C,2400,Cluster 18,38.9424646,-77.02337418
2025-11-17 21:02:31+00:00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1999 BLOCK OF TULIP STREET NW,4,4A,1600,Cluster 16,38.99285265,-77.04208415
2025-11-17 21:32:31+00:00,EVENING,OTHERS,THEFT F/AUTO,2300 - 3099 BLOCK OF V STREET NE,5,5C,11100,Cluster 24,38.91892888,-76.96730336
2025-11-19 13:31:10+00:00,DAY,OTHERS,THEFT F/AUTO,1850 - 1947 BLOCK OF BILTMORE STREET NW,1,1C,4001,Cluster 1,38.92232596,-77.04549031
2025-10-31 10:44:07+00:00,MIDNIGHT,GUN,ROBBERY,1700 - 1799 BLOCK OF KEARNY STREET NE,5,5B,9301,Cluster 22,38.93109427,-76.98024302
2025-10-31 23:57:35+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1300 - 1399 BLOCK OF 49TH STREET NE,7,7C,7806,Cluster 31,38.90786564,-76.93166221
2025-11-01 15:35:52+00:00,DAY,GUN,ROBBERY,300 - 499 BLOCK OF GALLOWAY STREET NE,5,5A,9508,Cluster 19,38.95255134,-76.99903311
2025-11-01 18:09:35+00:00,DAY,OTHERS,THEFT F/AUTO,1900 - 1999 BLOCK OF BENNING ROAD NE,7,7D,7903,Cluster 25,38.898801,-76.97586544
2025-11-02 00:44:23+00:00,EVENING,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF L STREET NW,2,2C,10700,Cluster 6,38.90374286,-77.04256478
2025-11-02 02:18:25+00:00,EVENING,OTHERS,THEFT F/AUTO,2800 - 2808 BLOCK OF DOUGLAS STREET NE,5,5C,11100,Cluster 22,38.92343791,-76.96765913
2025-11-03 14:08:09+00:00,DAY,OTHERS,THEFT F/AUTO,1600 - 1699 BLOCK OF D STREET SE,7,7D,6802,Cluster 26,38.88410096,-76.98149607
2025-11-05 14:59:16+00:00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF CLIFTON STREET NW,1,1B,3600,Cluster 2,38.92242836,-77.02887314
2025-11-04 23:40:08+00:00,EVENING,OTHERS,ROBBERY,1200 - 1299 BLOCK OF HALF STREET SE,8,8F,7201,Cluster 27,38.87555885,-77.00746208
2025-11-05 05:26:38+00:00,MIDNIGHT,OTHERS,ROBBERY,3000 - 3099 BLOCK OF 8TH STREET NE,5,5F,9201,Cluster 21,38.92791761,-76.99495329
2025-11-08 19:12:03+00:00,DAY,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF 7TH STREET NW,2,2G,4901,Cluster 7,38.91038429,-77.0219169
2025-11-08 23:46:14+00:00,EVENING,OTHERS,THEFT/OTHER,812 - 899 BLOCK OF BARNABY STREET SE,8,8E,9802,Cluster 39,38.83162982,-76.99183123
2025-11-10 04:17:21+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,11TH STREET SE AND M STREET SE,8,8F,7100,Cluster 27,38.87649754,-76.99153372
2025-11-11 07:20:26+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5C,9102,Cluster 22,38.92015701,-76.99030597
2025-11-11 11:51:23+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,4520 - 4599 BLOCK OF FORT TOTTEN DRIVE NE,5,5A,9510,Cluster 19,38.9462183,-77.00555027
2025-11-11 13:50:28+00:00,DAY,OTHERS,THEFT/OTHER,5600 - 5776 BLOCK OF 2ND STREET NE,4,4B,9505,Cluster 19,38.95887959,-77.00369207
2025-11-11 23:42:47+00:00,EVENING,OTHERS,ROBBERY,1300 - 1399 BLOCK OF 2ND STREET NE,6,6E,10601,Cluster 25,38.90782549,-77.00351418
2025-11-12 07:15:36+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1 - 7 BLOCK OF DUPONT CIRCLE NW,2,2B,5502,Cluster 6,38.90936484,-77.04414667
2025-11-12 18:13:51+00:00,DAY,GUN,ROBBERY,GEORGIA AVENUE NW AND W STREET NW,1,1E,3400,Cluster 3,38.91899058,-77.02189891
2025-11-12 22:26:46+00:00,EVENING,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF NEW YORK AVENUE NE,5,5D,8803,Cluster 23,38.9164774,-76.98271559
2025-11-14 01:56:51+00:00,EVENING,OTHERS,THEFT/OTHER,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,1,1E,3100,Cluster 2,38.93549724,-77.02417051
2025-11-14 19:12:52+00:00,DAY,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF C STREET SE,6,6B,6700,Cluster 26,38.88603356,-76.99088673
2025-11-18 17:43:21+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF MOUNT OLIVET ROAD NE,5,5D,8804,Cluster 23,38.909681,-76.98354519
2025-11-02 08:32:20+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,13TH STREET NW AND V STREET NW,1,1B,4401,Cluster 3,38.91811372,-77.02962045
2025-11-04 05:20:08+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1600 - 1699 BLOCK OF KENYON STREET NW,1,1D,2702,Cluster 2,38.92978705,-77.03833399
2025-11-09 01:17:05+00:00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,5100 - 5199 BLOCK OF GEORGIA AVENUE NW,4,4D,2101,Cluster 18,38.95238677,-77.02750099
2025-11-10 02:00:12+00:00,EVENING,OTHERS,THEFT F/AUTO,2000 - 2099 BLOCK OF FENWICK STREET NE,5,5D,8803,Cluster 23,38.91514439,-76.98494744
2025-11-10 04:17:13+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,2100 - 2199 BLOCK OF 24TH PLACE NE,5,5C,11100,Cluster 22,38.92045753,-76.97156263
2025-11-10 04:13:40+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1498 BLOCK OF OKIE STREET NE,5,5D,8803,Cluster 23,38.91475717,-76.98392764
2025-11-11 19:06:37+00:00,DAY,OTHERS,THEFT/OTHER,900 - 979 BLOCK OF 17TH STREET NE,5,5D,8904,Cluster 23,38.90137764,-76.97899292
2025-11-12 03:00:57+00:00,EVENING,OTHERS,ROBBERY,1000 - 1099 BLOCK OF SOUTH CAROLINA AVENUE SE,6,6B,6700,Cluster 26,38.8849483,-76.99208721
2025-11-12 21:24:38+00:00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF H STREET NE,6,6C,8302,Cluster 25,38.90020336,-76.99730482
2025-11-15 06:26:21+00:00,MIDNIGHT,OTHERS,ROBBERY,1100 - 1299 BLOCK OF HARVARD STREET NW,1,1A,3600,Cluster 2,38.92673941,-77.02837645
2025-11-16 09:01:28+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2542 - 2699 BLOCK OF REED STREET NE,5,5B,9302,Cluster 21,38.92358276,-76.99385621
2025-11-18 01:02:44+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3517 - 3648 BLOCK OF 16TH STREET NW,1,1D,2704,Cluster 2,38.93588403,-77.03645008
2025-11-19 08:50:18+00:00,MIDNIGHT,OTHERS,ROBBERY,800 - 899 BLOCK OF CHESAPEAKE STREET SE,8,8E,9700,Cluster 39,38.82920316,-76.99239433
2025-11-21 00:55:15+00:00,EVENING,OTHERS,THEFT F/AUTO,400 - 499 BLOCK OF M STREET SW,6,6D,10201,Cluster 9,38.87646121,-77.01874546
2025-11-21 03:56:36+00:00,EVENING,OTHERS,THEFT/OTHER,5300 - 5325 BLOCK OF EAST CAPITOL STREET,7,7C,9903,Cluster 33,38.88975652,-76.92552314
2025-11-24 00:26:53+00:00,EVENING,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,4,4A,1600,Cluster 16,38.98447704,-77.02660595
2025-11-24 00:33:22+00:00,EVENING,OTHERS,THEFT/OTHER,137 - 199 BLOCK OF U STREET NW,5,5E,3301,Cluster 21,38.91699672,-77.01402001
2025-11-24 04:56:38+00:00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,14TH STREET NW AND MERIDIAN PLACE NW,1,1A,2900,Cluster 2,38.93316597,-77.03273142
2025-11-25 23:54:06+00:00,EVENING,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,1,1C,3802,Cluster 1,38.92386989,-77.04087559
2025-11-25 22:46:29+00:00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF A STREET SE,6,6B,6700,Cluster 26,38.88867584,-76.99436199
2025-11-26 01:49:09+00:00,EVENING,OTHERS,BURGLARY,200 - 299 BLOCK OF 5TH STREET SE,6,6B,6600,Cluster 26,38.88706334,-76.99951261
2025-11-28 18:57:53+00:00,DAY,OTHERS,THEFT/OTHER,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,7,7F,7803,Cluster 30,38.89665588,-76.94764751
2025-11-19 06:34:22+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,7,7B,9901,Cluster 34,38.86891865,-76.95947618
2025-11-20 16:34:39+00:00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF G STREET NW,2,2C,5802,Cluster 8,38.89831393,-77.02884908
2025-11-21 05:32:11+00:00,MIDNIGHT,OTHERS,SEX ABUSE,13TH STREET SE AND PENNSYLVANIA AVENUE SE,6,6B,7100,Cluster 26,38.88145639,-76.98830894
2025-11-21 21:05:07+00:00,EVENING,OTHERS,THEFT/OTHER,2900 - 3049 BLOCK OF VAN NESS STREET NW,3,3F,1303,Cluster 12,38.94315419,-77.06171259
2025-11-24 18:58:20+00:00,DAY,OTHERS,BURGLARY,4461 - 4530 BLOCK OF MACARTHUR BOULEVARD NW,3,3D,802,Cluster 13,38.90846869,-77.08515747
2025-11-25 16:06:16+00:00,DAY,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF MASSACHUSETTS AVENUE NW,3,3E,1003,Cluster 11,38.94512631,-77.09578162
2025-11-25 17:46:59+00:00,DAY,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF 7TH STREET SE,6,6B,6600,Cluster 26,38.88535811,-76.99617466
2025-11-28 22:39:37+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 16TH STREET NW,2,2C,10100,Cluster 6,38.90313206,-77.03654102
2025-11-01 16:01:10+00:00,DAY,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF H STREET NE,6,6C,10602,Cluster 25,38.90020456,-76.99897445
2025-11-17 18:03:21+00:00,DAY,OTHERS,THEFT/OTHER,201 - 299 BLOCK OF M STREET NE,6,6C,10602,Cluster 25,38.90564594,-77.00255001
2025-11-20 11:31:42+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF 13TH STREET NW,2,2F,5004,Cluster 7,38.90644405,-77.02962195
2025-11-20 12:32:41+00:00,DAY,OTHERS,THEFT/OTHER,1700 - 1719 BLOCK OF C STREET NE,7,7D,7901,Cluster 25,38.89329908,-76.98031608
2025-11-21 20:31:53+00:00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 15TH STREET NW,2,2C,5802,Cluster 8,38.89782971,-77.03364458
2025-11-26 15:02:26+00:00,DAY,OTHERS,THEFT/OTHER,2100 - 2178 BLOCK OF CHAMPLAIN STREET NW,1,1C,3801,Cluster 1,38.91845726,-77.0402912
2025-11-27 00:04:58+00:00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,5,5C,9102,Cluster 22,38.9222166,-76.9931402
2025-11-27 09:48:00+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,300 - 409 BLOCK OF 50TH STREET NE,7,7C,7804,Cluster 31,38.89458687,-76.92923275
2025-11-17 20:33:39+00:00,EVENING,OTHERS,THEFT/OTHER,3902 - 4099 BLOCK OF TUNLAW ROAD NW,3,3B,702,Cluster 14,38.92586232,-77.07943846
2025-11-17 21:03:53+00:00,EVENING,OTHERS,THEFT F/AUTO,1900 - 1917 BLOCK OF 13TH STREET NW,1,1B,4402,Cluster 3,38.91592938,-77.0296237
2025-11-18 14:01:22+00:00,DAY,OTHERS,THEFT/OTHER,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,3,3E,1004,Cluster 11,38.95991197,-77.08528828
2025-11-28 19:01:35+00:00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 35TH STREET NW,2,2E,202,Cluster 4,38.90723466,-77.06901892
2025-10-31 14:01:02+00:00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF S STREET NE,5,5F,8701,Cluster 21,38.91408125,-77.00857809
2025-11-17 18:04:15+00:00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 23RD STREET NW,2,2A,10800,Cluster 5,38.8989502,-77.05014172
2025-11-17 23:09:48+00:00,EVENING,OTHERS,THEFT/OTHER,2483 - 2499 BLOCK OF ALABAMA AVENUE SE,8,8B,7502,Cluster 36,38.85634379,-76.96996841
2025-11-19 13:01:37+00:00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF 13TH STREET NW,2,2F,5004,Cluster 7,38.90644405,-77.02962195
2025-11-19 17:32:35+00:00,DAY,OTHERS,THEFT/OTHER,2000 - 2029 BLOCK OF 9TH STREET NW,1,1B,4401,Cluster 3,38.91737679,-77.02394482
2025-11-02 00:43:13+00:00,EVENING,OTHERS,THEFT F/AUTO,3279 - 3499 BLOCK OF FORT LINCOLN DRIVE NE,5,5C,9000,Cluster 24,38.92215659,-76.9566004
2025-11-01 23:18:54+00:00,EVENING,OTHERS,THEFT/OTHER,6000 - 6099 BLOCK OF GEORGIA AVENUE NW,4,4A,1804,Cluster 17,38.96323606,-77.02784752
2025-11-05 13:46:13+00:00,DAY,OTHERS,THEFT/OTHER,6TH STREET NE AND K STREET NE,6,6C,10602,Cluster 25,38.90251224,-76.99844352
2025-11-05 16:45:05+00:00,DAY,OTHERS,ROBBERY,3101 - 3199 BLOCK OF 16TH STREET NW,1,1A,2802,Cluster 2,38.92980792,-77.03646808
2025-11-05 17:31:29+00:00,DAY,OTHERS,THEFT F/AUTO,1250 - 1299 BLOCK OF 4TH STREET NE,5,5D,8803,Cluster 23,38.90848036,-76.99956026
2025-11-06 19:43:01+00:00,DAY,OTHERS,THEFT F/AUTO,10 - 99 BLOCK OF 49TH PLACE NE,7,7C,7804,Cluster 33,38.89040083,-76.93114571
2025-11-08 20:14:12+00:00,EVENING,OTHERS,THEFT/OTHER,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,1,1E,3100,Cluster 2,38.93549724,-77.02417051
2025-11-09 08:57:25+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF U STREET NW,2,2F,4300,Cluster 3,38.9169968,-77.03324151
2025-11-10 00:59:18+00:00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,2,2C,10100,Cluster 8,38.90452619,-77.03261406
2025-11-11 15:37:11+00:00,DAY,OTHERS,BURGLARY,900 - 1299 BLOCK OF VALLEY AVENUE SE,8,8E,9700,Cluster 39,38.83730209,-76.99076821
2025-11-15 05:04:33+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF U STREET NW,1,1B,4402,Cluster 3,38.91700008,-77.03078611
2025-11-11 01:27:06+00:00,EVENING,OTHERS,THEFT/OTHER,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,3,3C,501,Cluster 15,38.92419981,-77.05190312
2025-11-11 20:11:00+00:00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF CONGRESS PLACE SE,8,8C,7404,Cluster 38,38.8468515,-76.9837878
2025-11-12 00:00:31+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF CONSTITUTION AVENUE NW,2,2A,980000,Cluster 45,38.89210103,-77.04580693
2025-11-12 00:52:12+00:00,EVENING,OTHERS,THEFT F/AUTO,2800 - 2899 BLOCK OF 4TH STREET NE,5,5F,9201,Cluster 21,38.92610452,-77.00057039
2025-11-14 23:34:36+00:00,EVENING,OTHERS,THEFT/OTHER,200 - 249 BLOCK OF M STREET SE,8,8F,7203,Cluster 27,38.87648087,-77.0032425
2025-11-15 05:43:53+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,7700 - 7799 BLOCK OF ALASKA AVENUE NW,4,4A,1600,Cluster 16,38.98330002,-77.02741274
2025-11-16 01:44:53+00:00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 2ND STREET NE,6,6E,10601,Cluster 25,38.90782549,-77.00351418
2025-11-18 02:02:13+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5C,9102,Cluster 22,38.92015701,-76.99030597
2025-11-18 17:52:22+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,2400 - 2501 BLOCK OF 25TH STREET SE,8,8B,7502,Cluster 36,38.85805384,-76.96998096
2025-11-18 22:51:31+00:00,EVENING,GUN,ROBBERY,5600 - 5699 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,7,7C,7807,Cluster 31,38.89836305,-76.9198342
2025-11-19 19:04:51+00:00,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF 24TH STREET NE,5,5C,11100,Cluster 23,38.91481837,-76.97216124
2025-11-21 20:24:12+00:00,EVENING,OTHERS,THEFT/OTHER,2300 - 2399 BLOCK OF M STREET NW,2,2A,5501,Cluster 5,38.90526128,-77.05075846
2025-11-22 23:10:11+00:00,EVENING,OTHERS,THEFT/OTHER,2600 - 2639 BLOCK OF BOWEN ROAD SE,8,8B,7407,Cluster 37,38.8593388,-76.99186516
2025-11-24 13:55:13+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,4200 - 4299 BLOCK OF HILDRETH STREET SE,7,7E,7707,Cluster 33,38.8780743,-76.94174969
2025-11-25 21:29:07+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,50TH STREET SE AND CALL PLACE SE,7,7E,9904,Cluster 33,38.88462904,-76.93080171
2025-11-26 00:32:15+00:00,EVENING,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF O STREET NW,2,2E,201,Cluster 4,38.90768958,-77.07097637
2025-11-26 01:25:28+00:00,EVENING,OTHERS,THEFT/OTHER,3300 - 3399 BLOCK OF WISCONSIN AVENUE NW,3,3A,1002,Cluster 14,38.93406237,-77.07242173
2025-11-26 07:59:46+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,7,7C,7804,Cluster 31,38.8987906,-76.93271142
2025-11-27 02:15:13+00:00,EVENING,OTHERS,THEFT F/AUTO,1200 - 2699 BLOCK OF PECAN STREET SE,8,8C,10400,Cluster 43,38.85004611,-76.99410861
2025-11-29 00:18:49+00:00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,2,2B,5303,Cluster 6,38.9096429,-77.03750663
2025-11-01 20:13:08+00:00,EVENING,OTHERS,THEFT/OTHER,2900 - 2943 BLOCK OF NELSON PLACE SE,7,7B,7709,Cluster 34,38.87636924,-76.96671964
2025-11-03 01:42:23+00:00,EVENING,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF GEORGIA AVENUE NW,4,4C,2503,Cluster 18,38.94027739,-77.02510206
2025-11-04 00:51:58+00:00,EVENING,OTHERS,THEFT F/AUTO,82- 199 BLOCK OF I STREET SE,6,8F,7202,Cluster 27,38.87928312,-77.00552501
2025-11-05 13:56:57+00:00,DAY,OTHERS,ASSAULT W/DANGEROUS WEAPON,1600 - 1699 BLOCK OF L STREET NE,5,5D,8903,Cluster 23,38.90371512,-76.98054309
2025-11-06 21:24:48+00:00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,2,2B,5303,Cluster 6,38.9096429,-77.03750663
2025-11-08 01:48:51+00:00,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF SHIPPEN LANE SE,8,8C,7404,Cluster 38,38.84920254,-76.9817399
2025-11-08 11:20:51+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NE,5,5B,9102,Cluster 22,38.92726289,-76.97992301
2025-11-11 20:18:39+00:00,EVENING,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF 12TH STREET NE,5,5B,9301,Cluster 22,38.93402132,-76.99111756
2025-11-13 09:13:45+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,2,2F,5203,Cluster 7,38.90965158,-77.03325434
2025-11-14 01:56:26+00:00,EVENING,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF K STREET NE,6,6E,10603,Cluster 25,38.90251578,-77.00747584
2025-11-15 02:57:51+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,1,1B,3500,Cluster 3,38.91723646,-77.02294573
2025-11-15 01:03:49+00:00,EVENING,OTHERS,THEFT/OTHER,2500 - 2699 BLOCK OF ALABAMA AVENUE SE,8,8B,7502,Cluster 36,38.85787887,-76.96907037
2025-11-15 05:46:00+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,2800 - 2829 BLOCK OF Q STREET SE,7,7B,7604,Cluster 34,38.87074488,-76.9672622
2025-11-15 19:11:17+00:00,DAY,OTHERS,THEFT/OTHER,2900 - 3049 BLOCK OF VAN NESS STREET NW,3,3F,1303,Cluster 12,38.94315419,-77.06171259
2025-11-16 21:59:16+00:00,EVENING,OTHERS,THEFT F/AUTO,WATER STREET NW AND CECIL PLACE NW,2,2E,202,Cluster 4,38.90281378,-77.06390398
2025-11-17 02:13:36+00:00,EVENING,GUN,ROBBERY,1500 - 1599 BLOCK OF BENNING ROAD NE,7,7D,7901,Cluster 25,38.89997642,-76.98246021
2025-11-17 15:55:48+00:00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF C STREET SE,6,6B,6700,Cluster 26,38.88603238,-76.98926855
2025-11-18 02:42:40+00:00,EVENING,OTHERS,ROBBERY,5010 - 5099 BLOCK OF 44TH STREET NW,3,3E,1004,Cluster 11,38.95565435,-77.08620846
2025-11-17 23:46:12+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,300 - 401 BLOCK OF 37TH PLACE SE,7,7F,7703,Cluster 32,38.88492646,-76.95102452
2025-11-19 00:20:25+00:00,EVENING,OTHERS,BURGLARY,1500 - 1521 BLOCK OF ECKINGTON PLACE NE,5,5F,8702,Cluster 21,38.90989465,-77.00512753
2025-11-20 21:31:40+00:00,EVENING,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF MASSACHUSETTS AVENUE NW,3,3E,1003,Cluster 11,38.94512631,-77.09578162
2025-11-21 21:29:06+00:00,EVENING,OTHERS,THEFT/OTHER,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,7,7B,7603,Cluster 35,38.86032455,-76.96580311
2025-11-22 08:46:04+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF C STREET SE,7,7F,6804,Cluster 26,38.88534879,-76.97669662
2025-11-23 20:05:15+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,5713 - 5799 BLOCK OF 2ND STREET NE,4,4B,9505,Cluster 19,38.95993389,-77.00446332
2025-11-25 08:12:51+00:00,MIDNIGHT,OTHERS,ROBBERY,2700 - 2709 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,8,8C,10400,Cluster 43,38.84906445,-76.99597308
2025-11-25 14:43:07+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,5300 - 5399 BLOCK OF E STREET SE,7,7E,9905,Cluster 33,38.88184753,-76.92561776
2025-11-26 21:46:42+00:00,EVENING,OTHERS,ROBBERY,200 - 299 BLOCK OF MORGAN STREET NW,5,5E,4600,Cluster 21,38.90646043,-77.0144142
2025-11-27 21:31:13+00:00,EVENING,OTHERS,THEFT/OTHER,2500 - 2599 BLOCK OF SAVANNAH STREET SE,8,8E,7409,Cluster 38,38.84837825,-76.968137
2025-11-01 09:36:25+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF S STREET NW,1,1B,4402,Cluster 3,38.91409147,-77.02755736
2025-11-02 02:29:29+00:00,EVENING,OTHERS,ROBBERY,1300 - 1399 BLOCK OF JASPER PLACE SE,8,8C,7404,Cluster 38,38.85143616,-76.9821411
2025-11-05 01:21:14+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2400 - 2499 BLOCK OF 18TH STREET NW,1,1C,3802,Cluster 1,38.92162305,-77.04236546
2025-11-05 13:08:11+00:00,DAY,OTHERS,THEFT/OTHER,1401 - 1498 BLOCK OF WISCONSIN AVENUE NW,2,2E,102,Cluster 4,38.90861796,-77.06398206
2025-11-03 03:18:02+00:00,EVENING,OTHERS,ROBBERY,1300 - 1327 BLOCK OF PEABODY STREET NW,4,4A,1804,Cluster 17,38.96281121,-77.03046425
2025-11-03 15:30:44+00:00,DAY,OTHERS,THEFT F/AUTO,5900 - 5979 BLOCK OF BLAIR ROAD NW,4,4B,9505,Cluster 17,38.96168699,-77.01014309
2025-11-05 23:55:21+00:00,EVENING,OTHERS,THEFT F/AUTO,2100 - 2199 BLOCK OF O STREET NW,2,2B,5502,Cluster 6,38.90856944,-77.04771724
2025-11-06 13:55:30+00:00,DAY,OTHERS,THEFT/OTHER,1326 - 1399 BLOCK OF PARK ROAD NW,1,1A,2900,Cluster 2,38.93060021,-77.03181359
2025-11-06 18:05:34+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF P STREET NW,2,2F,5203,Cluster 7,38.90965158,-77.03325434
2025-11-07 01:29:22+00:00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF NEW JERSEY AVENUE NW,6,6E,4702,Cluster 8,38.90191699,-77.01351256
