REPORT_DATE,RESPONDERS SHIFT,METHOD,OFFENSE,BLOCK,WARD,ANC,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE
2025-11-08 23:28:22+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4037 - 4199 BLOCK OF SOUTH CAPITOL STREET,8,8D,9810,Cluster 39,38.82970673,-77.00767459
2025-11-11 03:27:25+00:00,EVENING,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF KILBOURNE PLACE NW,1,1D,2702,Cluster 2,38.93056605,-77.04007672
2025-11-10 23:27:56+00:00,EVENING,OTHERS,THEFT/OTHER,3100 - 3145 BLOCK OF MOUNT PLEASANT STREET NW,1,1D,2702,Cluster 2,38.92932598,-77.03758745
2025-11-11 04:27:09+00:00,MIDNIGHT,OTHERS,ROBBERY,1300 - 1399 BLOCK OF NICHOLSON STREET NW,4,4E,2001,Cluster 18,38.96021825,-77.03155971
2025-11-13 19:35:49+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,2922 - 2999 BLOCK OF 2ND STREET SE,8,8C,10400,Cluster 39,38.84568868,-77.00470994
2025-11-15 12:54:30+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,5600 - 5699 BLOCK OF 13TH STREET NW,4,4E,2002,Cluster 18,38.95781326,-77.02969429
2025-11-16 11:24:53+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1 - 15 BLOCK OF M STREET NW,6,6E,4704,Cluster 8,38.90564764,-77.00966554
2025-11-18 13:15:14+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1726 - 1799 BLOCK OF TRINIDAD AVENUE NE,5,5D,8804,Cluster 23,38.9087228,-76.98240871
2025-11-18 18:51:26+00:00,DAY,OTHERS,BURGLARY,4900 - 5199 BLOCK OF JUST STREET NE,7,7C,7809,Cluster 31,38.9026572,-76.92864294
2025-11-21 01:49:10+00:00,EVENING,OTHERS,THEFT/OTHER,1800 - 1841 BLOCK OF 6TH STREET NW,2,2G,4801,Cluster 3,38.91477603,-77.01989925
2025-11-21 22:28:33+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5C,9102,Cluster 22,38.92015701,-76.99030597
2025-11-23 02:20:12+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4230 - 4299 BLOCK OF 4TH STREET SE,8,8E,9811,Cluster 39,38.82576319,-76.99988815
2025-11-23 17:06:08+00:00,DAY,OTHERS,THEFT F/AUTO,300 - 499 BLOCK OF GALLOWAY STREET NE,5,5A,9508,Cluster 19,38.95255134,-76.99903311
2025-11-24 18:17:05+00:00,DAY,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF 35TH STREET NW,2,2E,202,Cluster 4,38.91501857,-77.06934573
2025-11-26 07:51:04+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,4200 - 4349 BLOCK OF MASSACHUSETTS AVENUE NW,3,3A,1002,Cluster 14,38.93583885,-77.0830611
2025-11-27 19:44:14+00:00,DAY,OTHERS,THEFT/OTHER,5300 - 5325 BLOCK OF EAST CAPITOL STREET,7,7C,9903,Cluster 33,38.88975652,-76.92552314
2025-11-13 22:49:45+00:00,EVENING,OTHERS,THEFT/OTHER,700 - 723 BLOCK OF 14TH STREET NW,2,2C,5802,Cluster 8,38.89885462,-77.03195091
2025-11-15 05:08:51+00:00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,3652 - 3701 BLOCK OF MINNESOTA AVENUE NE,7,7F,9603,Cluster 32,38.89021474,-76.95276798
2025-11-15 06:47:01+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF 14TH STREET NW,1,1D,2801,Cluster 2,38.93667092,-77.03273026
2025-11-17 02:41:26+00:00,EVENING,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF G STREET NW,6,6E,5900,Cluster 8,38.89832149,-77.01568743
2025-11-19 11:48:07+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,3700 - 3799 BLOCK OF 14TH STREET NW,4,4C,2504,Cluster 18,38.93734348,-77.03273011
2025-11-19 21:02:27+00:00,EVENING,OTHERS,THEFT/OTHER,2300 - 3955 BLOCK OF EAST CAPITOL STREET,7,7F,9603,Cluster 32,38.88978706,-76.9580556
2025-11-20 01:06:33+00:00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1329 BLOCK OF BRYANT STREET NE,5,5C,9102,Cluster 22,38.92107931,-76.98855616
2025-11-22 01:12:11+00:00,EVENING,OTHERS,THEFT F/AUTO,2800 - 2829 BLOCK OF GEORGIA AVENUE NW,1,1E,3500,Cluster 2,38.92639173,-77.022842
2025-11-24 20:18:33+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1700 - 1758 BLOCK OF BLADENSBURG ROAD NE,5,5C,8804,Cluster 23,38.91302214,-76.97595483
2025-11-24 23:19:47+00:00,EVENING,OTHERS,ROBBERY,800 - 899 BLOCK OF I STREET NE,6,6A,8410,Cluster 25,38.9013248,-76.994358
2025-11-25 00:00:15+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,400 - 499 BLOCK OF KENNEDY STREET NW,4,4D,2102,Cluster 18,38.95647734,-77.01884992
2025-11-27 21:09:01+00:00,EVENING,OTHERS,BURGLARY,500 - 599 BLOCK OF H STREET NE,6,6C,10602,Cluster 25,38.90020456,-76.99897445
2025-11-01 11:00:34+00:00,MIDNIGHT,OTHERS,BURGLARY,1821 - 1828 BLOCK OF PHELPS PLACE NW,2,2D,4100,Cluster 1,38.91499819,-77.04849513
