X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400532.759999998,139523.199999999,25179500,2025/11/26 19:10:52+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2542 - 2699 BLOCK OF REED STREET NE,400532.76,139523.2,5,5B,5,504,Cluster 21,009302 1,009302,Precinct 74,38.9235827563,-76.9938562089,,2025/11/16 03:00:00+00,2025/11/16 07:00:00+00,844737349,
398682.299999997,134716.489999998,25167645,2025/11/04 04:10:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,700 - 899 BLOCK OF 3RD STREET SW,398682.3,134716.49,6,6D,1,103,Cluster 9,010500 2,010500,Precinct 128,38.8802813797,-77.0151865019,SOUTHWEST,2025/10/31 16:40:00+00,2025/11/02 15:25:00+00,844738118,
398758.710000001,145213.059999999,25176474,2025/11/21 04:15:50+00,MIDNIGHT,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2025/11/20 23:29:00+00,2025/11/21 00:24:00+00,844738877,
396190.579999998,139384.93,25168906,2025/11/06 15:12:32+00,DAY,OTHERS,BURGLARY,1800 - 1899 BLOCK OF BILTMORE STREET NW,396190.58,139384.93,1,1C,3,303,Cluster 1,004001 1,004001,Precinct 25,38.9223290804,-77.0439294808,ADAMS MORGAN,2025/11/05 19:30:00+00,2025/11/05 19:43:00+00,844739964,
398735.5,145069.030000001,25171587,2025/11/11 20:06:14+00,EVENING,OTHERS,THEFT F/AUTO,6900 - 6999 BLOCK OF WILLOW STREET NW,398735.5,145069.03,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9735403779,-77.0145924437,,2025/11/11 14:48:00+00,2025/11/11 16:01:00+00,844740632,
399272.369999997,136594.949999999,25167395,2025/11/03 21:18:38+00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,399272.37,136594.95,6,6C,1,102,Cluster 25,010603 1,010603,Precinct 144,38.8972039407,-77.0083879302,CAPITOL HILL,2025/11/01 10:02:00+00,2025/11/03 20:50:00+00,844741067,
399214.789999999,137753.75,25174150,2025/11/16 07:59:33+00,MIDNIGHT,OTHERS,ROBBERY,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214.79,137753.75,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,38.9076427724,-77.0090530223,,2025/11/16 07:13:00+00,,844741792,
398472.539999999,137975.600000001,25176398,2025/11/20 22:34:24+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF P STREET NW,398472.54,137975.6,2,2G,3,308,Cluster 7,004801 3,004801,Precinct 18,38.909640297,-77.0176112336,,2025/11/20 20:57:00+00,2025/11/20 21:00:00+00,844741805,
397171.109999999,137408.25,25176644,2025/11/21 06:36:03+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2025/11/21 05:24:00+00,,844741830,
396055.229999997,139384.649999999,25179287,2025/11/26 02:46:03+00,EVENING,OTHERS,THEFT F/AUTO,1850 - 1947 BLOCK OF BILTMORE STREET NW,396055.23,139384.65,1,1C,3,303,Cluster 1,004001 1,004001,Precinct 25,38.9223259609,-77.0454903085,,2025/11/25 13:30:00+00,2025/11/25 15:30:00+00,844742351,
